user_id,genres,item_id,item_name
76561197970982479,nan,43110,Metro 2033
js41637,Adventure,239030,"Papers, Please"
js41637,Indie,239030,"Papers, Please"
evcentric,Indie,224500,Gnomoria
evcentric,Simulation,224500,Gnomoria
evcentric,Strategy,224500,Gnomoria
doctr,Action,108710,Alan Wake
doctr,Adventure,108710,Alan Wake
maplemage,Action,204300,Awesomenauts
maplemage,Free to Play,204300,Awesomenauts
maplemage,Indie,204300,Awesomenauts
maplemage,Strategy,204300,Awesomenauts
Wackky,Action,220,
76561198079601835,Action,730,
MeaTCompany,Action,730,Counter-Strike: Global Offensive
76561198089393905,Action,440,
76561198089393905,Free to Play,440,
76561198156664158,Action,252950,Rocket League
76561198156664158,Action,252950,Rocket League
76561198156664158,Indie,252950,Rocket League
76561198156664158,Indie,252950,Rocket League
76561198156664158,Racing,252950,Rocket League
76561198156664158,Racing,252950,Rocket League
76561198156664158,Sports,252950,Rocket League
76561198156664158,Sports,252950,Rocket League
76561198077246154,Action,304930,Unturned
76561198077246154,Adventure,304930,Unturned
76561198077246154,Casual,304930,Unturned
76561198077246154,Free to Play,304930,Unturned
76561198077246154,Indie,304930,Unturned
WeiEDKrSat,Indie,4000,Garry's Mod
WeiEDKrSat,Simulation,4000,Garry's Mod
thequeenpanda,Action,42910,Magicka
thequeenpanda,RPG,42910,Magicka
death-hunter,Indie,4000,
death-hunter,Simulation,4000,
DJKamBer,Action,440,
DJKamBer,Free to Play,440,
Rainbow-Dashie,Action,49520,
Rainbow-Dashie,RPG,49520,
76561198043472122,nan,33440,Driver San Francisco
MarbleShrine,Indie,220200,Kerbal Space Program
MarbleShrine,Simulation,220200,Kerbal Space Program
PPanther,Action,211820,Starbound
PPanther,Adventure,211820,Starbound
PPanther,Casual,211820,Starbound
PPanther,Indie,211820,Starbound
PPanther,RPG,211820,Starbound
devvonst,Action,550,Left 4 Dead 2
Fr0stedLine,Action,220,Half-Life 2
starkillershadow553,Action,277430,
76561198058373434,Action,8870,BioShock Infinite
76561198048353577,Action,33930,Arma 2: Operation Arrowhead
76561198048353577,Simulation,33930,Arma 2: Operation Arrowhead
76561198048353577,Strategy,33930,Arma 2: Operation Arrowhead
76561198066046412,Action,219640,Chivalry: Medieval Warfare
76561198066046412,Indie,219640,Chivalry: Medieval Warfare
tru_mu_,Indie,287980,Mini Metro
tru_mu_,Simulation,287980,Mini Metro
tru_mu_,Strategy,287980,Mini Metro
76561198070565427,Action,224260,No More Room in Hell
76561198070565427,Free to Play,224260,No More Room in Hell
76561198070565427,Indie,224260,No More Room in Hell
SavageEeEe,Action,221100,DayZ
SavageEeEe,Indie,221100,DayZ
SavageEeEe,Massively Multiplayer,221100,DayZ
SavageEeEe,Early Access,221100,DayZ
76561198076909484,nan,570,
KanadeTheNeko,Indie,4000,Garry's Mod
KanadeTheNeko,Simulation,4000,Garry's Mod
Leaf_Light_Moscow,Action,323370,TERA
Leaf_Light_Moscow,Adventure,323370,TERA
Leaf_Light_Moscow,Free to Play,323370,TERA
Leaf_Light_Moscow,Massively Multiplayer,323370,TERA
Leaf_Light_Moscow,RPG,323370,TERA
GoAwayZach,Action,304930,Unturned
GoAwayZach,Adventure,304930,Unturned
GoAwayZach,Casual,304930,Unturned
GoAwayZach,Free to Play,304930,Unturned
GoAwayZach,Indie,304930,Unturned
76561198054540475,Action,48700,Mount & Blade: Warband
76561198054540475,RPG,48700,Mount & Blade: Warband
76561198085547365,Indie,34900,Bad Rats
76561198061252210,Action,730,Counter-Strike: Global Offensive
OfficialShroomsy,Action,113200,The Binding of Isaac
OfficialShroomsy,Adventure,113200,The Binding of Isaac
OfficialShroomsy,Indie,113200,The Binding of Isaac
OfficialShroomsy,RPG,113200,The Binding of Isaac
boydeer,nan,383080,Sakura Clicker
VVillis,Action,213670,South Parkâ¢: The Stick of Truthâ¢
VVillis,Adventure,213670,South Parkâ¢: The Stick of Truthâ¢
VVillis,RPG,213670,South Parkâ¢: The Stick of Truthâ¢
76561198083226897,Action,105600,Terraria
76561198083226897,Adventure,105600,Terraria
76561198083226897,Indie,105600,Terraria
76561198083226897,RPG,105600,Terraria
76561198075277292,nan,570,
76561198028895010,Action,620,Portal 2
76561198028895010,Adventure,620,Portal 2
76561198170198366,nan,271290,HAWKEN
diego9031,Action,224260,No More Room in Hell
diego9031,Free to Play,224260,No More Room in Hell
diego9031,Indie,224260,No More Room in Hell
jarrodtrim,Action,440,
jarrodtrim,Free to Play,440,
76561198078738103,Action,304930,Unturned
76561198078738103,Adventure,304930,Unturned
76561198078738103,Casual,304930,Unturned
76561198078738103,Free to Play,304930,Unturned
76561198078738103,Indie,304930,Unturned
76561198067936203,Action,440,
76561198067936203,Free to Play,440,
76561198079770573,nan,1840,
76561198087586464,Action,440,
76561198087586464,Free to Play,440,
Derp-e,Action,440,
Derp-e,Free to Play,440,
76561198070194565,Action,248570,Toribash
76561198070194565,Free to Play,248570,Toribash
76561198070194565,Indie,248570,Toribash
76561198070194565,Strategy,248570,Toribash
Rivtex,Action,298630,The Escapists
Rivtex,Action,298630,The Escapists
Rivtex,Adventure,298630,The Escapists
Rivtex,Adventure,298630,The Escapists
Rivtex,Indie,298630,The Escapists
Rivtex,Indie,298630,The Escapists
Rivtex,Simulation,298630,The Escapists
Rivtex,Simulation,298630,The Escapists
Rivtex,Strategy,298630,The Escapists
Rivtex,Strategy,298630,The Escapists
UTNerd24,Action,2280,The Ultimate DOOM
sandwiches1,Adventure,417860,Emily is Away
sandwiches1,Casual,417860,Emily is Away
sandwiches1,Free to Play,417860,Emily is Away
sandwiches1,Indie,417860,Emily is Away
sandwiches1,Simulation,417860,Emily is Away
76561198138053270,nan,218620,
lucaswerg,Action,222880,
lucaswerg,Indie,222880,
lucaswerg,Strategy,222880,
Life-Of-Blu,Action,211820,Starbound
Life-Of-Blu,Adventure,211820,Starbound
Life-Of-Blu,Casual,211820,Starbound
Life-Of-Blu,Indie,211820,Starbound
Life-Of-Blu,RPG,211820,Starbound
CaptianAutismo,Action,252490,Rust
CaptianAutismo,Adventure,252490,Rust
CaptianAutismo,Indie,252490,Rust
CaptianAutismo,Massively Multiplayer,252490,Rust
CaptianAutismo,RPG,252490,Rust
CaptianAutismo,Early Access,252490,Rust
76561198075895633,Action,440,
76561198075895633,Free to Play,440,
TheDropix101,Indie,242920,Banished
TheDropix101,Simulation,242920,Banished
TheDropix101,Strategy,242920,Banished
kube134,Indie,251990,Long Live The Queen
kube134,RPG,251990,Long Live The Queen
kube134,Simulation,251990,Long Live The Queen
kube134,Strategy,251990,Long Live The Queen
iamthekingofbrowntown,Action,399730,
iamthekingofbrowntown,Indie,399730,
iamthekingofbrowntown,Racing,399730,
iamthekingofbrowntown,Sports,399730,
MainScout,Action,550,Left 4 Dead 2
MainScout,Action,550,Left 4 Dead 2
MainScout,Action,550,Left 4 Dead 2
MainScout,Action,550,Left 4 Dead 2
yookobz,Action,219150,Hotline Miami
yookobz,Indie,219150,Hotline Miami
Posiblydead,Action,17410,Mirror's Edge
Posiblydead,Adventure,17410,Mirror's Edge
Mossy_Gaming,Action,440,
Mossy_Gaming,Free to Play,440,
76561198102421718,Action,333930,Dirty Bomb
76561198102421718,Free to Play,333930,Dirty Bomb
76561198087407319,Action,440,
76561198087407319,Free to Play,440,
76561198056741844,Action,730,Counter-Strike: Global Offensive
sad-commie,Adventure,264140,Pixel Piracy
sad-commie,Indie,264140,Pixel Piracy
sad-commie,RPG,264140,Pixel Piracy
sad-commie,Simulation,264140,Pixel Piracy
76561198030567998,Action,32430,STAR WARSâ¢: The Force Unleashedâ¢ Ultimate Sith Edition
76561198010674657,Action,440,
76561198010674657,Free to Play,440,
Coldaniel,nan,236390,War Thunder
therealmorty,Indie,212680,FTL: Faster Than Light
therealmorty,Simulation,212680,FTL: Faster Than Light
therealmorty,Strategy,212680,FTL: Faster Than Light
Berserklejerker,Indie,391540,Undertale
Berserklejerker,RPG,391540,Undertale
76561198061730629,Action,550,Left 4 Dead 2
YoHuNz,nan,570,
possessioniskey,Action,113400,
possessioniskey,Free to Play,113400,
possessioniskey,Massively Multiplayer,113400,
76561198093112529,Action,440,
76561198093112529,Free to Play,440,
76561198060447950,Strategy,200510,XCOM: Enemy Unknown
whiteofwolfing,Action,730,Counter-Strike: Global Offensive
sergarino,nan,383080,Sakura Clicker
76561198081962345,Action,1250,
76561198081962345,Action,1250,
76561198081962345,Action,1250,
76561198081962345,Action,1250,
76561198073210139,Action,304050,Trove
