item_id,user_id,recommend,sentiment_analysis,items_count,item_name,playtime_forever,genres,price,title,developer,release_date
43110,76561197970982479,True,2,277.0,Metro 2033,834.0,,,,,
239030,js41637,True,2,888.0,"Papers, Please",349.0,"['Adventure', 'Indie']",9.99,"Papers, Please",3909,2013-08-08
224500,evcentric,True,2,137.0,Gnomoria,13618.0,"['Indie', 'Simulation', 'Strategy']",14.99,Gnomoria,Robotronic Games,2016-02-23
108710,doctr,True,2,541.0,Alan Wake,1185.0,"['Action', 'Adventure']",9.99,Alan Wake,Remedy Entertainment,2012-02-16
204300,maplemage,True,2,629.0,Awesomenauts,17589.0,"['Action', 'Free to Play', 'Indie', 'Strategy']",Free To Play,Awesomenauts - the 2D moba,Ronimo Games,2012-08-01
220,Wackky,True,2,,,,['Action'],9.99,Half-Life 2,Valve,2004-11-16
730,76561198079601835,True,0,,,,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
730,MeaTCompany,True,2,14.0,Counter-Strike: Global Offensive,18481.0,['Action'],14.99,Counter-Strike: Global Offensive,Valve,2012-08-21
440,76561198089393905,True,0,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
252950,76561198156664158,True,2,59.0,Rocket League,16470.0,"['Action', 'Indie', 'Racing', 'Sports']",19.99,Rocket League®,"Psyonix, Inc.",2015-07-07
304930,76561198077246154,True,0,174.0,Unturned,25150.0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",Free to Play,Unturned,Smartly Dressed Games,2017-07-07
4000,WeiEDKrSat,True,0,28.0,Garry's Mod,16441.0,"['Indie', 'Simulation']",9.99,Garry's Mod,Facepunch Studios,2006-11-29
42910,thequeenpanda,True,0,524.0,Magicka,1219.0,"['Action', 'RPG']",9.99,Magicka,Arrowhead Game Studios,2011-01-25
4000,death-hunter,True,2,,,,"['Indie', 'Simulation']",9.99,Garry's Mod,Facepunch Studios,2006-11-29
440,DJKamBer,True,2,,,,"['Action', 'Free to Play']",Free to Play,Team Fortress 2,Valve,2007-10-10
49520,Rainbow-Dashie,True,0,,,,"['Action', 'RPG']",19.99,Borderlands 2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012-09-17
33440,76561198043472122,False,0,88.0,Driver San Francisco,22.0,,,,,
220200,MarbleShrine,True,2,185.0,Kerbal Space Program,8592.0,"['Indie', 'Simulation']",39.99,Kerbal Space Program,Squad,2015-04-27
211820,PPanther,True,2,62.0,Starbound,11721.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",14.99,Starbound,Chucklefish,2016-07-22
550,devvonst,True,2,68.0,Left 4 Dead 2,7022.0,['Action'],19.99,Left 4 Dead 2,Valve,2009-11-16
220,Fr0stedLine,True,2,50.0,Half-Life 2,272.0,['Action'],9.99,Half-Life 2,Valve,2004-11-16
277430,starkillershadow553,True,2,,,,['Action'],2.99,Halo: Spartan Assault,"Vanguard Games,343 Industries",2014-04-04
8870,76561198058373434,True,2,49.0,BioShock Infinite,962.0,['Action'],29.99,BioShock Infinite,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013-03-25
33930,76561198048353577,True,2,95.0,Arma 2: Operation Arrowhead,6684.0,"['Action', 'Simulation', 'Strategy']",19.99,Arma 2: Operation Arrowhead,Bohemia Interactive,2010-06-29
219640,76561198066046412,True,2,48.0,Chivalry: Medieval Warfare,47800.0,"['Action', 'Indie']",24.99,Chivalry: Medieval Warfare,Torn Banner Studios,2012-10-16
